File,No,schoolType,school,ageGroup,type,year,sex,value,number,rate
MedSchool.csv,1,国立,北海道大学,うち20歳,合格者,26,合計,16,16,
MedSchool.csv,1,国立,北海道大学,うち20歳,合格率,26,男,41%,,0.41
MedSchool.csv,1,国立,北海道大学,うち20歳,合格率,26,女,20%,,0.2
MedSchool.csv,1,国立,北海道大学,うち20歳,受験者,25,男,26,26,
MedSchool.csv,1,国立,北海道大学,うち20歳,受験者,25,女,2,2,
MedSchool.csv,1,国立,北海道大学,うち20歳,受験者,25,合計,28,28,
MedSchool.csv,1,国立,北海道大学,うち20歳,合格者,25,男,11,11,
MedSchool.csv,1,国立,北海道大学,うち20歳,合格者,25,女,2,2,
MedSchool.csv,1,国立,北海道大学,うち20歳,合格者,25,合計,13,13,
MedSchool.csv,1,国立,北海道大学,うち20歳,合格率,25,男,42%,,0.42
MedSchool.csv,1,国立,北海道大学,うち20歳,合格率,25,女,100%,,1
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,30,男,12,12,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,30,女,5,5,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,30,合計,17,17,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,30,男,3,3,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,30,女,1,1,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,30,合計,4,4,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,30,男,25%,,0.25
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,30,女,20%,,0.2
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,29,男,13,13,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,29,女,4,4,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,29,合計,17,17,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,29,男,3,3,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,29,女,1,1,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,29,合計,4,4,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,29,男,23%,,0.23
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,29,女,25%,,0.25
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,28,男,13,13,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,28,女,3,3,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,28,合計,16,16,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,28,男,2,2,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,28,女,0,0,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,28,合計,2,2,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,28,男,15%,,0.15
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,28,女,0%,,0
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,27,男,9,9,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,27,女,5,5,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,27,合計,14,14,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,27,男,1,1,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,27,女,1,1,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,27,合計,2,2,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,27,男,11%,,0.11
MedSchool.csv,1,国立,北海道大学,うち21歳,合格率,27,女,20%,,0.2
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,26,男,12,12,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,26,女,1,1,
MedSchool.csv,1,国立,北海道大学,うち21歳,受験者,26,合計,13,13,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,26,男,5,5,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,26,女,1,1,
MedSchool.csv,1,国立,北海道大学,うち21歳,合格者,26,合計,6,6,
